k_index,valley,delta_kx_inv_A,delta_ky_inv_A,E17_eV,E18_eV,E19_eV,min_gap18_eV,omega_z_A2
122,Kprime,0.0,0.0,-1.4219835967601857,-1.274873885726747,0.3986764789118037,0.14710971103343873,6.414836443627795
123,Kprime,0.0,0.03,-1.4271138276367745,-1.280710340668335,0.4053082409098375,0.14640348696843963,6.236308461966746
124,Kprime,0.0,0.06,-1.4421894828194923,-1.2977972659207282,0.4238795252586453,0.14439221689876414,5.747730353034758
125,Kprime,0.0,0.09,-1.4661523277003359,-1.3248107049925335,0.4510136213423965,0.14134162270780237,5.065659368810046
126,Kprime,0.0,0.12,-1.497499426004768,-1.3599004835579482,0.48626164587132914,0.1375989424468198,4.320782683405685
127,Kprime,0.03,-0.12,-1.5082781978838917,-1.3714641910235517,0.4935984570085695,0.13681400686034006,4.160253377218566
128,Kprime,0.03,-0.09,-1.4745845303210894,-1.3340089776628883,0.4578574264624445,0.1405755526582011,4.892941807781688
129,Kprime,0.03,-0.06,-1.4487744646481295,-1.3051170056652035,0.4302028824588636,0.14365745898292603,5.570706342776611
130,Kprime,0.03,-0.03,-1.4325144293856344,-1.2868169515834875,0.41199709201165235,0.14569747780214692,6.059819604403123
131,Kprime,0.03,0.0,-1.426964385975392,-1.2805501063329507,0.4052349881773953,0.14641427964244125,6.23939252189114
132,Kprime,0.03,0.03,-1.4325139440243642,-1.2868164244760631,0.4119965944321329,0.145697519548301,6.0598173632776655
133,Kprime,0.03,0.06,-1.4487735350765503,-1.3051159995471222,0.43020200074741755,0.14365753552942806,5.5707394557952785
134,Kprime,0.03,0.09,-1.4745831855418146,-1.334007536153775,0.4578561796517105,0.14057564938803946,4.893011382400135
135,Kprime,0.03,0.12,-1.5082765130292264,-1.3714624011465926,0.493596948900866,0.13681411188263382,4.1603017483905536
136,Kprime,0.06,-0.12,-1.5262040259681968,-1.3910210842261863,0.5095613953721355,0.1351829417420105,3.8645323751594125
137,Kprime,0.06,-0.09,-1.4909191796155243,-1.352103128683372,0.47422125513034086,0.13881605093215232,4.533424880855234
138,Kprime,0.06,-0.06,-1.4638550090578546,-1.322058414079121,0.44675913813023027,0.14179659497873365,5.154757537674489
139,Kprime,0.06,-0.03,-1.4467870725391474,-1.3030164979678454,0.42931067793728384,0.14377057457130205,5.604369179650964
140,Kprime,0.06,0.0,-1.4409501346195701,-1.296486605056891,0.42331490666137395,0.14446352956267905,5.769644688353277
141,Kprime,0.06,0.03,-1.4467865688099972,-1.3030159548346076,0.42931023366624876,0.1437706139753896,5.6043844636186
142,Kprime,0.06,0.06,-1.463854017503023,-1.3220573525922092,0.4467582889604568,0.14179666491081377,5.154802278580656
143,Kprime,0.06,0.09,-1.4909177810510226,-1.3521016417918137,0.4742200580024999,0.13881613925920888,4.533442997311943
144,Kprime,0.06,0.12,-1.5262022757496387,-1.3910192365823293,0.5095599521239562,0.13518303916730945,3.8645990394891525
145,Kprime,0.09,-0.12,-1.5496091280725333,-1.4167020150948013,0.5327381926658442,0.13290711297773194,3.4928871180829
146,Kprime,0.09,-0.09,-1.513421243683045,-1.3771241059780581,0.49865388116301523,0.13629713770498686,4.066207633829558
147,Kprime,0.09,-0.06,-1.4856507862773767,-1.3465782563341082,0.4720585590856583,0.13907252994326846,4.598476780154402
148,Kprime,0.09,-0.03,-1.4681365258902355,-1.3272284864751471,0.45511818226286965,0.14090803941508834,4.983279924171821
149,Kprime,0.09,0.0,-1.4621460658354148,-1.3205944458975307,0.4492887046402426,0.14155161993788412,5.124689463759636
150,Kprime,0.09,0.03,-1.4681360137168133,-1.3272279399476359,0.45511775224918216,0.14090807376917747,4.98331191724742
151,Kprime,0.09,0.06,-1.4856497749977007,-1.3465771843942758,0.47205777081954575,0.13907259060342492,4.598532512936489
152,Kprime,0.09,0.09,-1.513419792825172,-1.3771225775220408,0.49865276772179057,0.13629721530313121,4.066186458757648
153,Kprime,0.09,0.12,-1.54960734186102,-1.4167001419507033,0.5327368375471664,0.13290719991031663,3.492950676804537
154,Kprime,0.12,-0.12,-1.5767168192074503,-1.4465139078453846,0.5614684108213798,0.13020291136206574,3.100442452589926
155,Kprime,0.12,-0.09,-1.5402087321390776,-1.4069314597380442,0.529399815536151,0.13327727240103338,3.5671576269291996
156,Kprime,0.12,-0.06,-1.5122050474190885,-1.376421357308634,0.5042539173582412,0.13578369011045455,3.999382892745118
157,Kprime,0.12,-0.03,-1.4945625581688295,-1.3571249063159823,0.48817779258976257,0.1374376518528473,4.310774171055385
158,Kprime,0.12,0.0,-1.4885282966939286,-1.350512238069273,0.48264843749790376,0.1380160586246557,4.424874380496106
159,Kprime,0.12,0.03,-1.4945620264074186,-1.3571243459117002,0.48817742387127394,0.13743768049571847,4.310739663439183
160,Kprime,0.12,0.06,-1.5122040372593377,-1.376420295024752,0.5042531936579913,0.13578374223458578,3.999337178011977
161,Kprime,0.12,0.09,-1.5402072826294582,-1.4069299442596712,0.5293987967542735,0.13327733836978695,3.5672030874793257
162,Kprime,0.12,0.12,-1.5767150262906742,-1.4465120404632623,0.5614671720887271,0.13020298582741185,3.100533143560302
