valley,delta_kx_inv_A,omega18_z_A2,E17_eV,E18_eV
K,0.03539999999999999,-6.141838965611782,-1.4301765220915907,-1.2841562910723996
K,0.036000000000000004,-6.131697137388059,-1.430499504190693,-1.284520738192333
K,0.036599999999999994,-6.121555309164336,-1.4308224862897954,-1.284885185312266
K,0.03719999999999998,-6.111413480940612,-1.4311454683888978,-1.2852496324321991
K,0.0378,-6.10127165271689,-1.431468450488,-1.2856140795521322
K,0.03839999999999999,-6.091129824493167,-1.4317914325871022,-1.2859785266720656
K,0.03899999999999998,-6.080987996269444,-1.4321144146862048,-1.2863429737919985
K,0.039599999999999996,-6.07084616804572,-1.432437396785307,-1.2867074209119318
K,0.040199999999999986,-6.0607043398219975,-1.4327603788844094,-1.287071868031865
K,0.0408,-6.050562511598274,-1.4330833609835119,-1.287436315151798
K,0.04139999999999999,-6.040420683374552,-1.433406343082614,-1.2878007622717313
K,0.04199999999999998,-6.030278855150829,-1.4337293251817163,-1.2881652093916645
K,0.0426,-6.020137026927106,-1.434052307280819,-1.2885296565115976
K,0.04319999999999999,-6.009995198703383,-1.434375289379921,-1.288894103631531
K,0.04379999999999998,-5.99985337047966,-1.4346982714790233,-1.2892585507514638
K,0.044399999999999995,-5.989711542255937,-1.4350212535781257,-1.2896229978713971
K,0.044999999999999984,-5.979569714032214,-1.4353442356772281,-1.2899874449913302
K,0.0456,-5.96942788580849,-1.4356672177763306,-1.2903518921112633
K,0.04619999999999999,-5.959286057584768,-1.435990199875433,-1.2907163392311967
K,0.04679999999999998,-5.949144229361044,-1.4363131819745352,-1.2910807863511296
K,0.0474,-5.939002401137321,-1.4366361640736374,-1.2914452334710629
K,0.04799999999999999,-5.928860572913599,-1.4369591461727398,-1.2918096805909962
K,0.04859999999999998,-5.918718744689876,-1.4372821282718422,-1.292174127710929
K,0.049199999999999994,-5.908576916466153,-1.4376051103709444,-1.2925385748308624
K,0.04979999999999998,-5.8984350882424295,-1.4379280924700468,-1.2929030219507955
K,0.0504,-5.888293260018706,-1.4382510745691492,-1.2932674690707286
K,0.05099999999999999,-5.878151431794984,-1.4385740566682514,-1.2936319161906618
K,0.05159999999999998,-5.86800960357126,-1.4388970387673539,-1.293996363310595
K,0.052199999999999996,-5.857867775347537,-1.4392200208664563,-1.2943608104305282
K,0.052799999999999986,-5.8477259471238145,-1.4395430029655585,-1.2947252575504613
K,0.0534,-5.837584118900091,-1.439865985064661,-1.2950897046703946
K,0.05399999999999999,-5.827442290676368,-1.4401889671637633,-1.2954541517903277
K,0.05459999999999998,-5.817300462452645,-1.4405119492628655,-1.2958185989102609
K,0.0552,-5.807158634228922,-1.440834931361968,-1.296183046030194
K,0.05579999999999999,-5.7970168060052,-1.4411579134610704,-1.296547493150127
K,0.05639999999999998,-5.786874977781476,-1.4414808955601726,-1.2969119402700604
K,0.056999999999999995,-5.776733149557753,-1.441803877659275,-1.2972763873899933
K,0.057599999999999985,-5.76659132133403,-1.4421268597583774,-1.2976408345099266
K,0.0582,-5.756449493110306,-1.4424498418574796,-1.2980052816298597
