# schema=VASPBERRY_BARE_MOMENTUM_KUBO_V2
# vaspberry_version=1.3.0
# normalization=STANDARD_MINUS_TWO_IM
# operator=WAVECAR_BARE_MOMENTUM_NO_PAW_NONLOCAL_VELOCITY
# berry_connection=A_i=i<u|d/dk_i u>
# occupation_weighting=NONE
# degeneracy_policy=SKIP_ABS_GAP_LE_MACHINE_EPSILON_eV
# migration=PRE_1.3_KUBO_CURVATURE_AND_CHERN_DIVIDE_BY_2
# index_base=1
# intermediate_bands=1:26
spin,k_index,band,kx_frac,ky_frac,kz_frac,energy_eV,omega_z_A2,min_gap_eV
1,37,18,-1.66666666666666713E-001,-3.33333333333333315E-001, 0.00000000000000000E+000,-2.10841472965645238E+000,-1.72622422554254040E+000, 7.69817887901300679E-002
1,38,18,-1.80555555555555608E-001,-3.61111111111111216E-001, 0.00000000000000000E+000,-2.09630629012719449E+000,-4.70777246853009979E-002, 8.73370136506919081E-002
1,39,18,-1.94444444444444392E-001,-3.88888888888888784E-001, 0.00000000000000000E+000,-2.06085074975426430E+000, 1.09662254758224753E+000, 9.37732759627047940E-002
1,40,18,-2.08333333333333287E-001,-4.16666666666666685E-001, 0.00000000000000000E+000,-2.00952218078269551E+000, 1.59769516607197759E+000, 9.82915119121123837E-002
1,41,18,-2.22222222222222210E-001,-4.44444444444444475E-001, 0.00000000000000000E+000,-1.94420836872935765E+000, 1.70168988783759079E+000, 1.02172506815233044E-001
1,42,18,-2.36111111111111105E-001,-4.72222222222222210E-001, 0.00000000000000000E+000,-1.86415341701045389E+000, 1.65464342249299268E+000, 1.06129775687923811E-001
1,43,18,-2.50000000000000000E-001,-5.00000000000000000E-001, 0.00000000000000000E+000,-1.76947299002083436E+000, 1.63693419155861397E+000, 1.10666079344795998E-001
1,44,18,-2.63888888888888895E-001,-5.27777777777777790E-001, 0.00000000000000000E+000,-1.66312508789575064E+000, 1.79098592642823706E+000, 1.16178249583544169E-001
1,45,18,-2.77777777777777679E-001,-5.55555555555555469E-001, 0.00000000000000000E+000,-1.55158860034474277E+000, 2.25546038033255059E+000, 1.22894397013613377E-001
1,46,18,-2.91666666666666685E-001,-5.83333333333333370E-001, 0.00000000000000000E+000,-1.44466478775970342E+000, 3.15615894952896792E+000, 1.30653280426726859E-001
1,47,18,-3.05555555555555580E-001,-6.11111111111111160E-001, 0.00000000000000000E+000,-1.35485277356407674E+000, 4.48212446209930970E+000, 1.38555819094749344E-001
1,48,18,-3.19444444444444420E-001,-6.38888888888888840E-001, 0.00000000000000000E+000,-1.29524593950208078E+000, 5.82841954877580282E+000, 1.44749225735113729E-001
1,49,18,-3.33333333333333315E-001,-6.66666666666666630E-001, 0.00000000000000000E+000,-1.27487388572251836E+000, 6.41484655018621286E+000, 1.47109711005055210E-001
