k_index,kx_fractional,ky_fractional,kz_fractional,path_distance_inv_A,photon_energy_eV,left_spectrum_au,right_spectrum_au,selectivity,selectivity_is_resolved
1,0.33333,0.666667,0.0,0.0,1.37,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.38,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.39,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.4,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.41,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.42,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.43,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.44,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.45,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.46,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.47,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.48,0.0,0.0,,0
1,0.33333,0.666667,0.0,0.0,1.49,0.0,0.0001,,0
1,0.33333,0.666667,0.0,0.0,1.5,0.0,0.0001,,0
1,0.33333,0.666667,0.0,0.0,1.51,0.0,0.0002,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.52,0.0,0.0004,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.53,0.0,0.0008,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.54,0.0,0.0013,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.55,0.0,0.0022,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.56,0.0,0.0035,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.57,0.0,0.0053,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.58,0.0,0.0078,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.59,0.0,0.0109,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.6,0.0,0.0148,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.61,0.0,0.0192,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.62,0.0,0.0239,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.63,0.0,0.0287,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.64,0.0,0.0331,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.65,0.0,0.0367,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.66,0.0,0.0392,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.67,0.0,0.0402,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.68,0.0,0.0398,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.69,0.0,0.0381,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.7,0.0,0.0354,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.71,0.0,0.0321,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.72,0.0,0.0289,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.73,0.0,0.0262,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.74,0.0,0.0244,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.75,0.0,0.0237,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.76,0.0,0.0241,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.77,0.0,0.0255,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.78,0.0,0.0276,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.79,0.0,0.0299,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.8,0.0,0.0319,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.81,0.0,0.0332,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.82,0.0,0.0335,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.83,0.0,0.0326,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.84,0.0,0.0307,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.85,0.0,0.0277,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.86,0.0,0.0241,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.87,0.0,0.0201,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.88,0.0,0.0162,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.89,0.0,0.0125,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.9,0.0,0.0092,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.91,0.0,0.0066,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.92,0.0,0.0045,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.93,0.0,0.003,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.94,0.0,0.0019,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.95,0.0,0.0011,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.96,0.0,0.0007,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.97,0.0,0.0004,-1.0,1
1,0.33333,0.666667,0.0,0.0,1.98,0.0,0.0002,-1.0,1
